-1.07761	-0.031657	1.42162
-0.854201	0.251783	1.67855
-0.632537	0.248502	1.71444
-0.449975	-0.0473337	1.44043
-0.0847381	-0.77432	0.962127
0.1828	-1.56475	0.461543
0.456295	-2.05308	-0.32638
0.825959	-2.34037	-0.821456
1.12617	-1.79508	-0.967249
1.74725	-1.55065	-1.06788
2.21567	-1.55297	-1.07483
2.42619	-1.75284	-1.00929
2.7419	-2.07503	-0.802421
3.00214	-2.21507	-0.469087
2.80724	-2.03473	-0.448306
2.05565	-1.90768	-0.70711
0.998093	-1.60037	-1.06457
0.284122	-1.44217	-1.48508
-0.27821	-1.14831	-1.82818
-0.507644	-0.828622	-2.07664
-0.379476	-0.661609	-2.3559
-0.328566	-0.449609	-2.43609
-0.218495	-0.390902	-2.55363
-0.102459	-0.574366	-2.73672
-0.199627	-0.341758	-2.81281
-0.672527	0.254589	-2.66624
-0.807463	0.412701	-2.21901
-0.389109	-0.086494	-1.53691
-0.0318764	-0.0621987	-0.819444
0.398653	-0.136413	-0.0758084
0.87709	-0.137654	0.541736
1.11082	0.112083	1.00446
1.29653	0.145211	1.46471
1.32093	0.148697	1.86384
1.37939	0.209521	1.98122
1.54763	0.20032	1.89902
1.74156	0.153238	1.69446
1.90375	0.135241	1.51336
2.08393	0.0220913	1.42814
2.25319	-0.228434	1.43625
2.17562	-0.525066	1.28946
1.7129	-0.645306	0.994231
1.13612	-0.669394	0.672935
0.750849	-0.786181	0.44496
0.710439	-0.902728	0.306386
0.812781	-0.904181	0.110673
1.02871	-0.943232	-0.0761906
1.19717	-1.14436	-0.0432704
1.21061	-1.08492	-0.0108439
1.30947	-1.17216	-0.0250199
1.33866	-1.00123	-0.0583763
1.39014	-0.677109	-0.00986153
1.57682	-0.601264	0.0900446
1.79912	-0.629797	0.149867
2.01602	-0.609246	0.188691
2.15241	-0.656506	0.271712
2.02472	-0.991806	0.398487
1.40762	-2.18073	0.694384
0.727676	-3.78229	1.17016
-0.150525	-3.92256	1.82473
-0.851773	-3.73856	2.33499
-0.975552	-4.14238	2.79539
-1.062	-4.51401	3.25576
-0.858421	-4.81632	4.09289
0.881993	-5.36347	4.53123
1.86662	-5.7416	4.281
1.65155	-5.58414	3.47925
1.20781	-5.72347	3.47811
0.639629	-6.03345	3.90409
0.0399533	-6.18688	4.09696
-0.770698	-5.75722	4.68419
-1.63386	-4.63361	5.58063
-1.7148	-3.79022	6.27198
-0.892864	-3.96184	7.15439
-0.952919	-2.17122	9.29386
-2.09708	1.20566	10.5966
-4.38365	3.96113	10.7925
-7.2638	3.03738	8.06331
